PennOS Log
Running at Sun Apr 23 12:34:09 2023
[0    ]	CREATE  	1  	-1	shell
[28   ]	CREATE  	2  	0 	sleep
[28   ]	BLOCKED  	1  	-1	shell
[28   ]	BLOCKED  	2  	0 	sleep
[62   ]	SIGNALED	2  	0 	sleep
[62   ]	ZOMBIE  	2  	0 	sleep
[62   ]	UNBLOCKED	1  	-1	shell
[63   ]	WAITED  	2  	0 	sleep
[93   ]	CREATE  	2  	0 	sleep
[94   ]	BLOCKED  	2  	0 	sleep
[117  ]	CREATE  	3  	0 	ps
[117  ]	BLOCKED  	1  	-1	shell
[117  ]	EXITED  	3  	0 	ps
[117  ]	ZOMBIE  	3  	0 	ps
[117  ]	UNBLOCKED	1  	-1	shell
[117  ]	WAITED  	3  	0 	ps
[146  ]	BLOCKED  	1  	-1	shell
[163  ]	SIGNALED	2  	0 	sleep
[163  ]	ZOMBIE  	2  	0 	sleep
[163  ]	UNBLOCKED	1  	-1	shell
[164  ]	WAITED  	2  	0 	sleep
[185  ]	CREATE  	2  	0 	sleep
[185  ]	BLOCKED  	1  	-1	shell
[185  ]	BLOCKED  	2  	0 	sleep
[195  ]	STOPPED  	2  	0 	sleep
[195  ]	UNBLOCKED	1  	-1	shell
[195  ]	WAITEDSTP	2  	0 	sleep
[195  ]	WAITEDSTP	2  	0 	sleep
[209  ]	WAITEDSTP	2  	0 	sleep
[288  ]	CREATE  	3  	0 	sleep
[288  ]	WAITEDSTP	2  	0 	sleep
[289  ]	BLOCKED  	3  	0 	sleep
[308  ]	WAITEDSTP	2  	0 	sleep
[351  ]	BLOCKED  	1  	-1	shell
[366  ]	STOPPED  	3  	0 	sleep
[366  ]	UNBLOCKED	1  	-1	shell
[366  ]	WAITEDSTP	3  	0 	sleep
[366  ]	WAITEDSTP	2  	0 	sleep
[379  ]	WAITEDSTP	2  	0 	sleep
[442  ]	CONTINUED	2  	0 	sleep
[442  ]	WAITEDSTP	3  	0 	sleep
[591  ]	WAITEDSTP	3  	0 	sleep
[637  ]	BLOCKED  	1  	-1	shell
[653  ]	SIGNALED	2  	0 	sleep
[653  ]	ZOMBIE  	2  	0 	sleep
[653  ]	UNBLOCKED	1  	-1	shell
[654  ]	WAITED  	2  	0 	sleep
[654  ]	WAITEDSTP	3  	0 	sleep
[714  ]	CREATE  	2  	0 	sleep
[714  ]	WAITEDSTP	3  	0 	sleep
[715  ]	BLOCKED  	2  	0 	sleep
[763  ]	WAITEDSTP	3  	0 	sleep
[785  ]	CONTINUED	3  	0 	sleep
[785  ]	BLOCKED  	1  	-1	shell
[795  ]	STOPPED  	3  	0 	sleep
[795  ]	UNBLOCKED	1  	-1	shell
[795  ]	WAITEDSTP	3  	0 	sleep
[795  ]	WAITEDSTP	3  	0 	sleep
[812  ]	WAITEDSTP	3  	0 	sleep
[812  ]	WAITEDSTP	3  	0 	sleep
[900  ]	BLOCKED  	1  	-1	shell
[913  ]	STOPPED  	2  	0 	sleep
[913  ]	UNBLOCKED	1  	-1	shell
[913  ]	WAITEDSTP	2  	0 	sleep
[913  ]	WAITEDSTP	3  	0 	sleep
[923  ]	WAITEDSTP	3  	0 	sleep
[957  ]	CONTINUED	2  	0 	sleep
[957  ]	WAITEDSTP	3  	0 	sleep
[973  ]	WAITEDSTP	3  	0 	sleep
[1689 ]	WAITEDSTP	3  	0 	sleep
[1726 ]	WAITEDSTP	3  	0 	sleep
[1779 ]	WAITEDSTP	3  	0 	sleep
[1789 ]	CREATE  	4  	0 	ls
[1789 ]	BLOCKED  	1  	-1	shell
[1789 ]	EXITED  	4  	0 	ls
[1789 ]	ZOMBIE  	4  	0 	ls
[1789 ]	UNBLOCKED	1  	-1	shell
[1789 ]	WAITED  	4  	0 	ls
[1789 ]	WAITEDSTP	3  	0 	sleep
[1939 ]	CREATE  	4  	0 	touch
[1939 ]	BLOCKED  	1  	-1	shell
[1939 ]	EXITED  	4  	0 	touch
[1939 ]	ZOMBIE  	4  	0 	touch
[1939 ]	UNBLOCKED	1  	-1	shell
[1939 ]	WAITED  	4  	0 	touch
[1939 ]	WAITEDSTP	3  	0 	sleep
[1946 ]	CREATE  	4  	0 	ls
[1946 ]	BLOCKED  	1  	-1	shell
[1946 ]	EXITED  	4  	0 	ls
[1946 ]	ZOMBIE  	4  	0 	ls
[1946 ]	UNBLOCKED	1  	-1	shell
[1946 ]	WAITED  	4  	0 	ls
[1946 ]	WAITEDSTP	3  	0 	sleep
[2060 ]	CREATE  	4  	0 	echo
[2060 ]	BLOCKED  	1  	-1	shell
[2060 ]	EXITED  	4  	0 	echo
[2060 ]	ZOMBIE  	4  	0 	echo
[2060 ]	UNBLOCKED	1  	-1	shell
[2060 ]	WAITED  	4  	0 	echo
[2060 ]	WAITEDSTP	3  	0 	sleep
[2379 ]	CREATE  	4  	0 	cp
[2379 ]	BLOCKED  	1  	-1	shell
[2379 ]	EXITED  	4  	0 	cp
[2379 ]	ZOMBIE  	4  	0 	cp
[2379 ]	UNBLOCKED	1  	-1	shell
[2379 ]	WAITED  	4  	0 	cp
[2379 ]	WAITEDSTP	3  	0 	sleep
[2390 ]	CREATE  	4  	0 	ls
[2390 ]	BLOCKED  	1  	-1	shell
[2390 ]	EXITED  	4  	0 	ls
[2390 ]	ZOMBIE  	4  	0 	ls
[2390 ]	UNBLOCKED	1  	-1	shell
[2390 ]	WAITED  	4  	0 	ls
[2390 ]	WAITEDSTP	3  	0 	sleep
[2612 ]	CREATE  	4  	0 	cat
[2612 ]	BLOCKED  	1  	-1	shell
[2669 ]	EXITED  	4  	0 	cat
[2669 ]	ZOMBIE  	4  	0 	cat
[2669 ]	UNBLOCKED	1  	-1	shell
[2669 ]	WAITED  	4  	0 	cat
[2669 ]	WAITEDSTP	3  	0 	sleep
[2706 ]	CREATE  	4  	0 	cat
[2706 ]	BLOCKED  	1  	-1	shell
[2706 ]	EXITED  	4  	0 	cat
[2706 ]	ZOMBIE  	4  	0 	cat
[2706 ]	UNBLOCKED	1  	-1	shell
[2706 ]	WAITED  	4  	0 	cat
[2706 ]	WAITEDSTP	3  	0 	sleep
[2810 ]	CREATE  	4  	0 	rm
[2810 ]	BLOCKED  	1  	-1	shell
[2810 ]	EXITED  	4  	0 	rm
[2810 ]	ZOMBIE  	4  	0 	rm
[2810 ]	UNBLOCKED	1  	-1	shell
[2810 ]	WAITED  	4  	0 	rm
[2810 ]	WAITEDSTP	3  	0 	sleep
[2815 ]	CREATE  	4  	0 	ls
[2815 ]	BLOCKED  	1  	-1	shell
[2815 ]	EXITED  	4  	0 	ls
[2815 ]	ZOMBIE  	4  	0 	ls
[2815 ]	UNBLOCKED	1  	-1	shell
[2815 ]	WAITED  	4  	0 	ls
[2815 ]	WAITEDSTP	3  	0 	sleep
[3018 ]	CREATE  	4  	0 	mv
[3018 ]	BLOCKED  	1  	-1	shell
[3018 ]	EXITED  	4  	0 	mv
[3018 ]	ZOMBIE  	4  	0 	mv
[3018 ]	UNBLOCKED	1  	-1	shell
[3018 ]	WAITED  	4  	0 	mv
[3018 ]	WAITEDSTP	3  	0 	sleep
[3024 ]	CREATE  	4  	0 	ls
[3024 ]	BLOCKED  	1  	-1	shell
[3024 ]	EXITED  	4  	0 	ls
[3024 ]	ZOMBIE  	4  	0 	ls
[3024 ]	UNBLOCKED	1  	-1	shell
[3024 ]	WAITED  	4  	0 	ls
[3024 ]	WAITEDSTP	3  	0 	sleep
[3061 ]	CREATE  	4  	0 	cat
[3061 ]	BLOCKED  	1  	-1	shell
[3061 ]	EXITED  	4  	0 	cat
[3061 ]	ZOMBIE  	4  	0 	cat
[3061 ]	UNBLOCKED	1  	-1	shell
[3061 ]	WAITED  	4  	0 	cat
[3061 ]	WAITEDSTP	3  	0 	sleep
[3386 ]	CREATE  	4  	0 	chmod
[3386 ]	BLOCKED  	1  	-1	shell
[3386 ]	EXITED  	4  	0 	chmod
[3386 ]	ZOMBIE  	4  	0 	chmod
[3386 ]	UNBLOCKED	1  	-1	shell
[3386 ]	WAITED  	4  	0 	chmod
[3386 ]	WAITEDSTP	3  	0 	sleep
[3451 ]	CREATE  	4  	0 	ls
[3451 ]	BLOCKED  	1  	-1	shell
[3451 ]	EXITED  	4  	0 	ls
[3451 ]	ZOMBIE  	4  	0 	ls
[3451 ]	UNBLOCKED	1  	-1	shell
[3451 ]	WAITED  	4  	0 	ls
[3451 ]	WAITEDSTP	3  	0 	sleep
[3625 ]	CREATE  	4  	0 	ps
[3625 ]	BLOCKED  	1  	-1	shell
[3625 ]	EXITED  	4  	0 	ps
[3625 ]	ZOMBIE  	4  	0 	ps
[3625 ]	UNBLOCKED	1  	-1	shell
[3625 ]	WAITED  	4  	0 	ps
[3625 ]	WAITEDSTP	3  	0 	sleep
[3654 ]	WAITEDSTP	3  	0 	sleep
[3790 ]	CREATE  	4  	0 	kill
[3790 ]	BLOCKED  	1  	-1	shell
[3790 ]	SIGNALED	3  	0 	sleep
[3790 ]	ZOMBIE  	3  	0 	sleep
[3790 ]	EXITED  	4  	0 	kill
[3790 ]	ZOMBIE  	4  	0 	kill
[3790 ]	UNBLOCKED	1  	-1	shell
[3790 ]	WAITED  	4  	0 	kill
